Datetime,Predicted_Temperature,Algorithm,Actual
1/28/2023,17.557,RandomForest,17.4
1/29/2023,18.8,RandomForest,17.6
1/30/2023,20.052,RandomForest,18.1
1/31/2023,22.073,RandomForest,19.3
2/1/2023,22.441,RandomForest,18
2/2/2023,22.691,RandomForest,18.1
2/3/2023,22.793,RandomForest,18.9
2/4/2023,21.534,RandomForest,20.7
2/5/2023,20.279,RandomForest,21.3
2/6/2023,21.051,RandomForest,24.7
2/7/2023,21.525,RandomForest,21.8
2/8/2023,21.036,RandomForest,21.6
2/9/2023,20.631,RandomForest,22.8
2/10/2023,20.775,RandomForest,23.7
2/11/2023,20.39,RandomForest,23.2
2/12/2023,20.587,RandomForest,22.5
2/13/2023,20.056,RandomForest,20.8
2/14/2023,20.641,RandomForest,21.6
2/15/2023,21.821,RandomForest,22.2
2/16/2023,22.254,RandomForest,22.2
2/17/2023,21.87,RandomForest,22.5
2/18/2023,22.555,RandomForest,22.1
2/19/2023,23.444,RandomForest,22
2/20/2023,24.39,RandomForest,23.6
2/21/2023,24.162,RandomForest,24.4
2/22/2023,24.377,RandomForest,23.3
2/23/2023,24.286,RandomForest,23.3
2/24/2023,23.475,RandomForest,23.3
2/25/2023,23.673,RandomForest,24.5
2/26/2023,23.941,RandomForest,25.3
2/27/2023,23.994,RandomForest,24.6
2/28/2023,24.068,RandomForest,24.3
3/1/2023,24.103,RandomForest,24.4
3/2/2023,24.325,RandomForest,26.3
3/3/2023,24.233,RandomForest,26.7
3/4/2023,24.828,RandomForest,27.4
3/5/2023,25.346,RandomForest,27.2
3/6/2023,24.806,RandomForest,27.9
3/7/2023,25.617,RandomForest,26.7
3/8/2023,26.117,RandomForest,26.7
3/9/2023,25.738,RandomForest,27.5
3/10/2023,25.854,RandomForest,27
3/11/2023,26.998,RandomForest,27.1
3/12/2023,28.152,RandomForest,27.3
3/13/2023,28.391,RandomForest,25.4
3/14/2023,27.795,RandomForest,25.4
3/15/2023,27.335,RandomForest,26.5
3/16/2023,27.158,RandomForest,26.5
3/17/2023,27.192,RandomForest,27
3/18/2023,27.114,RandomForest,26.6
3/19/2023,27.838,RandomForest,25.9
3/20/2023,27.659,RandomForest,25.1
3/21/2023,26.611,RandomForest,24.8
3/22/2023,26.003,RandomForest,24.8
3/23/2023,26.794,RandomForest,24
3/24/2023,28.104,RandomForest,25.3
3/25/2023,29.073,RandomForest,25.5
3/26/2023,28.808,RandomForest,25.8
3/27/2023,29.452,RandomForest,26.8
3/28/2023,28.987,RandomForest,26.2
3/29/2023,28.869,RandomForest,26.6
3/30/2023,30.448,RandomForest,25.7
3/31/2023,31.154,RandomForest,26.6
4/1/2023,30.353,RandomForest,26.7
4/2/2023,29.48,RandomForest,26.3
4/3/2023,29.134,RandomForest,27
4/4/2023,28.472,RandomForest,26.4
4/5/2023,29.128,RandomForest,26.7
4/6/2023,29.796,RandomForest,26.5
4/7/2023,31.228,RandomForest,28.5
4/8/2023,31.507,RandomForest,28.5
4/9/2023,30.254,RandomForest,27.7
4/10/2023,30.17,RandomForest,26.1
4/11/2023,29.375,RandomForest,26.5
4/12/2023,28.789,RandomForest,28.6
4/13/2023,28.915,RandomForest,28.3
4/14/2023,29.248,RandomForest,27.6
4/15/2023,29.86,RandomForest,28
4/16/2023,29.823,RandomForest,28.3
4/17/2023,29.656,RandomForest,28.4
4/18/2023,29.418,RandomForest,28.5
4/19/2023,29.401,RandomForest,29.3
4/20/2023,30.078,RandomForest,30.2
4/21/2023,30.077,RandomForest,30
4/22/2023,29.815,RandomForest,29.5
4/23/2023,30.156,RandomForest,30
4/24/2023,30.853,RandomForest,30.4
4/25/2023,30.622,RandomForest,29.9
4/26/2023,30.474,RandomForest,28.8
1/1/2023,26.51919985,LassoRegressor,19
1/2/2023,26.51919985,LassoRegressor,18.6
1/3/2023,26.51919985,LassoRegressor,18.2
1/4/2023,26.51919985,LassoRegressor,17.4
1/5/2023,26.51919985,LassoRegressor,16.4
1/6/2023,26.51919985,LassoRegressor,17.9
1/7/2023,26.51919985,LassoRegressor,19.9
1/8/2023,26.51919985,LassoRegressor,19.4
1/9/2023,26.51919985,LassoRegressor,18.8
1/10/2023,26.51919985,LassoRegressor,19.4
1/11/2023,26.51919985,LassoRegressor,21.3
1/12/2023,26.51919985,LassoRegressor,19.5
1/13/2023,26.51919985,LassoRegressor,16.2
1/14/2023,26.51919985,LassoRegressor,15.2
1/15/2023,26.51919985,LassoRegressor,14.3
1/16/2023,26.51919985,LassoRegressor,15.9
1/17/2023,26.51919985,LassoRegressor,15.7
1/18/2023,26.51919985,LassoRegressor,16.9
1/19/2023,26.51919985,LassoRegressor,18
1/20/2023,26.51919985,LassoRegressor,17.5
1/21/2023,26.51919985,LassoRegressor,16.8
1/22/2023,26.51919985,LassoRegressor,15.8
1/23/2023,26.51919985,LassoRegressor,15.4
1/24/2023,26.51919985,LassoRegressor,14.6
1/25/2023,26.51919985,LassoRegressor,14.8
1/26/2023,26.51919985,LassoRegressor,15.3
1/27/2023,26.51919985,LassoRegressor,16.1
1/28/2023,26.51919985,LassoRegressor,17.4
1/29/2023,26.51919985,LassoRegressor,17.6
1/30/2023,26.51919985,LassoRegressor,18.1
1/31/2023,26.51919985,LassoRegressor,19.3
2/1/2023,26.58131312,LassoRegressor,18
2/2/2023,26.58131312,LassoRegressor,18.1
2/3/2023,26.58131312,LassoRegressor,18.9
2/4/2023,26.58131312,LassoRegressor,20.7
2/5/2023,26.58131312,LassoRegressor,21.3
2/6/2023,26.58131312,LassoRegressor,24.7
2/7/2023,26.58131312,LassoRegressor,21.8
2/8/2023,26.58131312,LassoRegressor,21.6
2/9/2023,26.58131312,LassoRegressor,22.8
2/10/2023,26.58131312,LassoRegressor,23.7
2/11/2023,26.58131312,LassoRegressor,23.2
2/12/2023,26.58131312,LassoRegressor,22.5
2/13/2023,26.58131312,LassoRegressor,20.8
2/14/2023,26.58131312,LassoRegressor,21.6
2/15/2023,26.58131312,LassoRegressor,22.2
2/16/2023,26.58131312,LassoRegressor,22.2
2/17/2023,26.58131312,LassoRegressor,22.5
2/18/2023,26.58131312,LassoRegressor,22.1
2/19/2023,26.58131312,LassoRegressor,22
2/20/2023,26.58131312,LassoRegressor,23.6
2/21/2023,26.58131312,LassoRegressor,24.4
2/22/2023,26.58131312,LassoRegressor,23.3
2/23/2023,26.58131312,LassoRegressor,23.3
2/24/2023,26.58131312,LassoRegressor,23.3
2/25/2023,26.58131312,LassoRegressor,24.5
2/26/2023,26.58131312,LassoRegressor,25.3
2/27/2023,26.58131312,LassoRegressor,24.6
2/28/2023,26.58131312,LassoRegressor,24.3
3/1/2023,26.64342638,LassoRegressor,24.4
3/2/2023,26.64342638,LassoRegressor,26.3
3/3/2023,26.64342638,LassoRegressor,26.7
3/4/2023,26.64342638,LassoRegressor,27.4
3/5/2023,26.64342638,LassoRegressor,27.2
3/6/2023,26.64342638,LassoRegressor,27.9
3/7/2023,26.64342638,LassoRegressor,26.7
3/8/2023,26.64342638,LassoRegressor,26.7
3/9/2023,26.64342638,LassoRegressor,27.5
3/10/2023,26.64342638,LassoRegressor,27
3/11/2023,26.64342638,LassoRegressor,27.1
3/12/2023,26.64342638,LassoRegressor,27.3
3/13/2023,26.64342638,LassoRegressor,25.4
3/14/2023,26.64342638,LassoRegressor,25.4
3/15/2023,26.64342638,LassoRegressor,26.5
3/16/2023,26.64342638,LassoRegressor,26.5
3/17/2023,26.64342638,LassoRegressor,27
3/18/2023,26.64342638,LassoRegressor,26.6
3/19/2023,26.64342638,LassoRegressor,25.9
3/20/2023,26.64342638,LassoRegressor,25.1
3/21/2023,26.64342638,LassoRegressor,24.8
3/22/2023,26.64342638,LassoRegressor,24.8
3/23/2023,26.64342638,LassoRegressor,24
3/24/2023,26.64342638,LassoRegressor,25.3
3/25/2023,26.64342638,LassoRegressor,25.5
3/26/2023,26.64342638,LassoRegressor,25.8
3/27/2023,26.64342638,LassoRegressor,26.8
3/28/2023,26.64342638,LassoRegressor,26.2
3/29/2023,26.64342638,LassoRegressor,26.6
3/30/2023,26.64342638,LassoRegressor,25.7
3/31/2023,26.64342638,LassoRegressor,26.6
4/1/2023,26.70553964,LassoRegressor,26.7
4/2/2023,26.70553964,LassoRegressor,26.3
4/3/2023,26.70553964,LassoRegressor,27
4/4/2023,26.70553964,LassoRegressor,26.4
4/5/2023,26.70553964,LassoRegressor,26.7
4/6/2023,26.70553964,LassoRegressor,26.5
4/7/2023,26.70553964,LassoRegressor,28.5
4/8/2023,26.70553964,LassoRegressor,28.5
4/9/2023,26.70553964,LassoRegressor,27.7
4/10/2023,26.70553964,LassoRegressor,26.1
4/11/2023,26.70553964,LassoRegressor,26.5
4/12/2023,26.70553964,LassoRegressor,28.6
4/13/2023,26.70553964,LassoRegressor,28.3
4/14/2023,26.70553964,LassoRegressor,27.6
4/15/2023,26.70553964,LassoRegressor,28
4/16/2023,26.70553964,LassoRegressor,28.3
4/17/2023,26.70553964,LassoRegressor,28.4
4/18/2023,26.70553964,LassoRegressor,28.5
4/19/2023,26.70553964,LassoRegressor,29.3
4/20/2023,26.70553964,LassoRegressor,30.2
4/21/2023,26.70553964,LassoRegressor,30
4/22/2023,26.70553964,LassoRegressor,29.5
4/23/2023,26.70553964,LassoRegressor,30
4/24/2023,26.70553964,LassoRegressor,30.4
4/25/2023,26.70553964,LassoRegressor,29.9
4/26/2023,26.70553964,LassoRegressor,28.8
